T_K,v,i,s,c_p, p_bar
75,1.1192,-131.7,2.918,1.843,1
85,236.0,82.7,5.590,1.052,1
90,251.2,87.9,5.650,1.044,1
95,266.2,91.3,5.706,1.037,1
100,281.2,98.3,5.759,1.032,1
105,296.1,103.4,5.810,1.028,1
110,310.9,108.6,5.858,1.025,1
115,325.6,113.7,5.903,1.022,1
120,340.3,118.8,5.946,1.020,1
125,355.0,123.9,5.988,1.018,1
130,369.7,129.0,6.028,1.016,1
135,384.8,134.0,6.066,1.015,1
140,398.9,139.1,6.103,1.014,1
145,413.4,144.2,6.139,1.013,1
150,428.0,149.2,6.173,1.012,1
160,457.0,159.3,6.238,1.010,1
170,486.0,169.4,6.299,1.009,1
180,515.0,179.5,6.357,1.008,1
190,543.9,189.6,6.412,1.008,1
200,572.8,199.7,6.463,1.007,1
210,601.7,209.7,6.512,1.006,1
220,630.5,219.8,6.559,1.006,1
230,659.4,229.9,6.604,1.006,1
240,688.2,239.9,6.647,1.006,1
250,717.0,250.0,6.688,1.006,1
260,745.8,260.0,6.727,1.006,1
270,774.6,270.1,6.765,1.006,1
280,803.4,280.2,6.802,1.006,1
290,832.2,290.2,6.837,1.006,1
300,861.0,300.3,6.871,1.007,1
310,889.8,310.4,6.904,1.007,1
320,918.5,320.4,6.936,1.007,1
330,947.3,330.5,6.967,1.008,1
340,976.0,340.6,6.997,1.009,1
350,1005,350.7,7.026,1.009,1
375,1077,375.9,7.096,1.012,1
400,1148,401.2,7.161,1.014,1
425,1220,426.7,7.223,1.017,1
450,1292,452.1,7.282,1.021,1
475,1364,477.7,7.337,1.025,1
500,1436,503.4,7.389,1.030,1
550,1580,555.2,7.488,1.040,1
600,1723,607.5,7.579,1.051,1
650,1867,660.3,7.664,1.063,1
700,2010,713.8,7.743,1.075,1
750,2154,767.9,7.817,1.087,1
800,2297,822.5,7.888,1.099,1
850,2441,877.7,7.955,1.110,1
900,2585,933.5,8.019,1.121,1
950,2728,989.8,8.080,1.131,1
1000,2872,1046.8,8.138,1.141,1
1050,3015,1103.9,8.194,1.150,1
1100,3159,1161.7,8.248,1.159,1
1150,3302,1219.9,8.299,1.167,1
1200,3446,1278.4,8.349,1.175,1
1250,3590,1337.3,8.397,1.182,1
1300,3733,1396.0,8.444,1.189,1ы
75,121.7,85.7,5.435,1.095,2
85,129.7,91.1,5.494,1.079,2
90,137.5,96.5,5.549,1.067,2
95,145.3,101.8,5.601,1.058,2
100,152.9,107.1,5.650,1.050,2
105,160.5,112.3,5.697,1.044,2
110,168.1,117.5,5.741,1.039,2
115,175.6,122.7,5.783,1.035,2
120,183.0,127.9,5.823,1.031,2
125,190.5,133.1,5.862,1.028,2
130,197.9,138.2,5.900,1.026,2
135,205.3,143.3,5.936,1.024,2
140,212.7,148.4,5.970,1.022,2
145,227.4,158.6,6.036,1.019,2
150,242.0,168.8,6.098,1.016,2
160,256.6,178.9,6.156,1.014,2
170,271.2,189.1,6.211,1.013,2
180,285.7,199.2,6.263,1.011,2
190,300.2,209.3,6.312,1.010,2
200,314.8,219.4,6.359,1.010,2
210,329.2,229.5,6.404,1.009,2
220,343.7,239.6,6.447,1.009,2
230,358.2,249.7,6.488,1.008,2
240,372.6,259.7,6.527,1.008,2
250,387.1,269.8,6.565,1.008,2
260,401.5,279.9,6.602,1.008,2
270,415.9,290.0,6.637,1.008,2
280,430.4,300.1,6.671,1.008,2
290,444.8,310.1,6.705,1.008,2
300,459.2,320.2,6.737,1.008,2
310,473.6,330.3,6.768,1.009,2
320,488.0,340.4,6.798,1.010,2
330,502.4,350.5,6.827,1.010,2
340,538.4,375.8,6.897,1.012,2
350,574.4,401.1,6.962,1.015,2
375,610.4,426.6,7.024,1.018,2
400,646.3,452.1,7.083,1.022,2
425,682.3,477.7,7.138,1.026,2
450,718.2,503.4,7.190,1.031,2
475,790.1,555.1,7.289,1.041,2
500,861.9,607.4,7.380,1.052,2
550,933.7,660.3,7.465,1.063,2
600,1006,713.8,7.544,1.075,2
650,1077,767.9,7.618,1.087,2
700,1149,822.5,7.689,1.099,2
750,1221,877.8,7.756,1.110,2
800,1293,933.6,7.820,1.121,2
850,1365,989.9,7.881,1.132,2
900,1436,1046.7,7.939,1.142,2
950,1505,1104.0,7.995,1.151,2
1000,1580,1161.8,8.049,1.159,2
1050,1652,1220.0,8.100,1.167,2
1100,1723,1278.5,8.150,1.175,2
1150,1795,1337.4,8.198,1.182,2
1200,1867,1396.6,8.245,1.189,2
95,84.05,89.1,5.363,1.129,3
100,89.54,94.7,5.420,1.108,3
105,94.92,100.2,5.474,1.091,3
110,100.2,105.6,5.524,1.078,3
115,105.4,110.9,5.572,1.068,3
120,110.6,116.2,5.617,1.060,3
125,115.7,121.5,5.660,1.053,3
130,120.8,126.8,5.701,1.047,3
135,125.9,132.0,5.741,1.042,3
140,130.9,137.2,5.779,1.038,3
145,135.9,142.4,5.815,1.035,3
150,140.9,147.6,5.850,1.031,3
160,150.8,157.9,5.917,1.027,3
170,160.7,168.1,5.979,1.023,3
180,170.5,178.3,6.037,1.020,3
190,180.3,188.5,6.092,1.018,3
200,190.0,198.7,6.144,1.016,3
210,199.8,208.8,6.194,1.014,3
220,209.5,219.0,6.241,1.013,3
230,219.2,229.1,6.286,1.012,3
240,228.9,239.2,6.329,1.011,3
250,238.6,249.3,6.370,1.011,3
260,248.2,259.4,6.410,1.010,3
270,257.9,269.5,6.448,1.010,3
280,267.5,279.6,6.485,1.010,3
290,277.2,289.7,6.520,1.010,3
300,286.8,299.8,6.554,1.010,3
310,296.5,309.9,6.588,1.010,3
320,306.1,320.0,6.620,1.010,3
330,315.7,330.1,6.651,1.010,3
340,325.3,340.2,6.681,1.011,3
350,335.0,350.3,6.710,1.012,3
375,359.0,375.6,6.780,1.013,3
400,383.0,401.0,6.845,1.016,3
425,407.0,426.5,6.907,1.019,3
450,431.0,452.0,6.965,1.023,3
475,455.0,477.6,7.021,1.027,3
500,479.0,503.3,7.074,1.031,3
550,526.9,555.1,7.172,1.041,3
600,574.8,607.4,7.263,1.052,3
650,622.7,660.3,7.348,1.064,3
700,670.6,713.8,7.427,1.076,3
750,718.5,767.9,7.502,1.088,3
800,766.4,822.6,7.573,1.099,3
850,814.3,877.8,7.640,1.110,3
900,862.2,933.6,7.703,1.121,3
950,910.0,989.9,7.764,1.132,3
1000,957.9,1046.8,7.822,1.142,3
1050,1006,1104.1,7.878,1.151,3
1100,1054,1161.8,7.932,1.159,3
1150,1101,1220.0,7.984,1.167,3
1200,1149,1278.6,8.034,1.175,3
1250,1197,1337.5,8.082,1.182,3
1300,1245,1396.7,8.128,1.189,3
95,65.46,92.7,5.324,1.155,4
100,69.69,98.4,5.380,1.129,4
105,73.81,104.0,5.432,1.110,4
110,77.85,109.5,5.481,1.095,4
115,81.84,115.0,5.527,1.082,4
120,85.78,120.4,5.571,1.072,4
125,89.68,125.7,5.613,1.064,4
130,93.54,131.0,5.653,1.057,4
135,97.38,136.3,5.691,1.052,4
140,101.2,141.5,5.728,1.047,4
145,105.0,146.7,5.764,1.042,4
150,112.5,157.1,5.831,1.036,4
160,120.0,167.4,5.893,1.030,4
170,127.4,177.7,5.952,1.026,4
180,134.8,188.0,6.007,1.023,4
190,142.2,198.2,6.060,1.020,4
200,149.5,208.4,6.110,1.018,4
210,156.9,218.6,6.157,1.017,4
220,164.2,228.7,6.202,1.015,4
230,171.5,238.9,6.245,1.014,4
240,178.8,249.0,6.286,1.013,4
250,186.0,259.1,6.326,1.013,4
260,193.3,269.3,6.364,1.012,4
270,200.6,279.4,6.401,1.012,4
280,207.8,289.5,6.437,1.011,4
290,215.1,299.6,6.471,1.011,4
300,222.3,309.7,6.504,1.011,4
310,229.5,319.8,6.536,1.011,4
320,236.8,329.9,6.568,1.012,4
330,244.0,340.1,6.598,1.012,4
340,251.2,350.2,6.627,1.013,4
350,269.3,375.5,6.697,1.014,4
375,287.3,400.9,6.763,1.017,4
400,305.3,426.4,6.825,1.020,4
425,323.3,451.9,6.883,1.023,4
450,341.3,474.5,6.938,1.027,4
475,359.3,503.2,6.991,1.031,4
500,395.3,555.1,7.090,1.041,4
550,431.3,607.4,7.181,1.052,4
600,467.2,660.3,7.266,1.064,4
650,503.2,713.8,7.345,1.076,4
700,539.1,767.9,7.419,1.088,4
750,575.0,822.6,7.490,1.099,4
800,610.9,877.8,7.557,1.111,4
850,646.9,933.6,7.621,1.122,4
900,682.8,990.0,7.682,1.132,4
950,718.7,1046.8,7.740,1.142,4
1000,754.6,1104.1,7.796,1.151,4
1050,790.5,1161.8,7.850,1.159,4
1100,826.4,1220.0,7.901,1.167,4
1150,862.3,1278.6,7.951,1.175,4
1200,898.2,1337.5,7.999,1.182,4
1250,934.1,1396.8,8.046,1.189,4
75,1.1183,-131.4,2.916,1.840,5
80,1.1470,-122.3,3.031,1.868,5
85,1.1790,-112.9,3.143,1.901,5
90,1.2150,-103.3,3.250,1.941,5
95,1.2559,-93.5,3.356,1.991,5
100,50.93,90.6,5.246,1.212,5
105,54.98,96.6,5.304,1.174,5
