rank,total_error_pct,d1_отн,c_а1_отн,с_а_отн,Hт_ср_отн,H_т1,π_к_полн,η_к_полн,err_π_к_pct,err_η_к_pct
1,6.367971257735479,0.5,0.55,0.45,0.25,0.25,18.203524720380937,0.8268372125880551,0.019366595499657427,6.348604662235821
2,6.404398037219326,0.55,0.55,0.45,0.25,0.17,18.20674055923371,0.8266716062697755,0.03703603974567263,6.367361997473655
3,6.460693753018594,0.6,0.55,0.45,0.25,0.15,18.21315356019253,0.8264856748778979,0.07227230875017278,6.388421444268422
4,6.5116415264945635,0.55,0.5,0.55,0.25,0.21,18.19390372794375,0.8256935114560208,0.033496000309070004,6.478145526185493
5,6.5923637911434785,0.5,0.55,0.45,0.25,0.24,18.24345667871932,0.8267931902860988,0.23877295999626263,6.353590831147216
6,6.6144316768876905,0.55,0.55,0.45,0.25,0.18,18.15383263758646,0.826729851709098,0.25366682644801053,6.360764850439679
7,6.648251099097637,0.6,0.55,0.45,0.25,0.16,18.151314145288538,0.8265534369203591,0.2675046962168213,6.380746402880816
8,6.650739825673602,0.6,0.5,0.55,0.25,0.18,18.227214240675302,0.8254898688147566,0.1495287949192453,6.501211030754356
9,6.669721481932613,0.6,0.5,0.55,0.25,0.19,18.168039067106662,0.8255525456751098,0.17560952139196406,6.494111960540648
10,6.710268081629576,0.55,0.55,0.45,0.25,0.16,18.26117704070726,0.8266118479941256,0.33613758630362905,6.3741304953259466
11,6.721709142963469,0.55,0.45,0.4,0.3,0.25,18.191776153790983,0.8239420584059751,0.045185968181410595,6.6765231747820595
12,6.7288236029350355,0.55,0.5,0.55,0.25,0.2,18.244514790973913,0.825639731964821,0.24458676359293088,6.484236839342104
13,6.733406989296814,0.35,0.45,0.4,0.3,0.15,18.195938891897846,0.8236368436226998,0.02231378078106099,6.711093208515753
14,6.775621396414626,0.55,0.5,0.55,0.25,0.22,18.144780498563787,0.8257458489315811,0.30340385404512465,6.472217542369502
15,6.779056782634936,0.35,0.55,0.45,0.25,0.25,18.2823357299932,0.8270309359428345,0.45239412084176156,6.326662661793174
16,6.816217214145237,0.5,0.5,0.5,0.25,0.2,18.37803161420278,0.8313450913112058,0.9781956824328573,5.83802153171238
17,6.823995100564739,0.5,0.55,0.45,0.25,0.23,18.284678775491532,0.8267478427396691,0.465267997206223,6.358727103358516
18,6.886251043727157,0.5,0.45,0.6,0.25,0.23,18.218072289276172,0.8229670885973697,0.09929829272622463,6.786952751000933
19,6.890472867992976,0.55,0.55,0.45,0.25,0.19,18.102423233995868,0.8267866042934162,0.5361360769457767,6.354336791047199
20,6.896207930638318,0.55,0.45,0.4,0.3,0.24,18.23899119127808,0.8238939635854661,0.21423731471473892,6.6819706159235785
21,6.924557653451681,0.5,0.45,0.6,0.25,0.24,18.17399443613113,0.8230137299186309,0.14288771356520688,6.781669939886474
22,6.958358105245993,0.35,0.55,0.45,0.25,0.24,18.314242282103727,0.8269957034311981,0.6277048467237797,6.330653258522213
23,6.971161373612513,0.6,0.55,0.45,0.25,0.17,18.091181762274182,0.8266195426022805,0.5979024050869073,6.373258968525605
24,6.976729372990064,0.35,0.45,0.4,0.3,0.16,18.15068613650221,0.8236838055944694,0.2709552939439029,6.7057740790461615
25,6.978709917716622,0.6,0.5,0.55,0.25,0.2,18.110543895887517,0.8256136335852621,0.49151705556309006,6.487192862153532
26,6.99259406980832,0.6,0.5,0.55,0.25,0.17,18.288106444982155,0.8254255795992056,0.4841013460558012,6.50849272375252
27,7.02149659306487,0.55,0.5,0.55,0.25,0.19,18.296642547940547,0.8255844919123552,0.5310030106623477,6.490493582402522
28,7.024882258092028,0.55,0.55,0.45,0.25,0.15,18.317173341950635,0.8265505561966214,0.6438095711573406,6.381072686934687
29,7.031739933265883,0.55,0.5,0.55,0.25,0.23,18.097117388872327,0.825796762285514,0.5652890721300668,6.466450861135817
30,7.062981899301533,0.5,0.55,0.45,0.25,0.22,18.327211960526327,0.8267011557841203,0.698966816078724,6.36401508322281
31,7.085908999800146,0.5,0.5,0.5,0.25,0.19,18.426091283422092,0.8312954052794439,1.24225979902249,5.843649200777657
32,7.141693006746568,0.5,0.45,0.6,0.25,0.22,18.26357259220094,0.8229190568375452,0.34929995714802947,6.792393049598538
33,7.144183540729375,0.35,0.55,0.45,0.25,0.23,18.347311045409636,0.8269592495577245,0.8094013484045997,6.334782192324775
34,7.153934417782848,0.5,0.45,0.6,0.25,0.25,18.13131473236348,0.8230589965069647,0.37739158042042703,6.77654283736242
35,7.158605976148588,0.55,0.55,0.45,0.25,0.2,18.052483477629554,0.826841883321277,0.8105303426947534,6.348075633453834
36,7.169459157850573,0.55,0.45,0.4,0.3,0.23,18.28770268972058,0.8238444721218989,0.48188291055263455,6.6875762472979385
37,7.178783975219203,0.35,0.4,0.6,0.25,0.24,18.200459053586474,0.8195299254098689,0.002522272453159463,7.176261702766045
38,7.212527166792548,0.35,0.45,0.4,0.3,0.17,18.106830496064802,0.8237294267597665,0.5119203512922922,6.700606815500257
39,7.242157781812376,0.45,0.4,0.6,0.25,0.24,18.208274473706826,0.8193495342214897,0.045464141246300924,7.196693640566075
40,7.259821651509875,0.55,0.45,0.6,0.25,0.15,18.114561558908832,0.8229368327526018,0.4694419840174014,6.790379667492473
41,7.278840256831197,0.6,0.5,0.55,0.25,0.21,18.054693187466228,0.8256731551349497,0.7983890798558876,6.480451176975309
42,7.280141395432259,0.55,0.5,0.55,0.25,0.24,18.050887788008513,0.8258462687794977,0.8192978680850895,6.460843527347169
43,7.285081589363246,0.6,0.55,0.45,0.25,0.18,18.032719211172854,0.8266840163370733,0.9191252133359653,6.36595637602728
44,7.309445698818889,0.5,0.55,0.45,0.25,0.21,18.3710780461075,0.8266531147303818,0.9399892643269212,6.369456434491968
45,7.32283579490837,0.55,0.5,0.55,0.25,0.18,18.350317051045597,0.8255277720812022,0.8259178628878976,6.496917932020472
46,7.336619545154644,0.35,0.55,0.45,0.25,0.22,18.381557535642784,0.826921563685414,0.9975688771581593,6.339050667996483
47,7.344279907148577,0.6,0.5,0.55,0.25,0.16,18.350754262055464,0.8253596537805514,0.8283201211838709,6.515959785964706
48,7.3637734767105485,0.5,0.5,0.5,0.25,0.18,18.475609985945468,0.8312443417234215,1.5143405821179594,5.8494328945925895
49,7.367133435292975,0.35,0.4,0.6,0.25,0.25,18.16442867469505,0.8195703185190933,0.1954468423348907,7.171686592958084
50,7.373114201917643,0.45,0.4,0.6,0.25,0.25,18.166940351306785,0.8193956727283751,0.18164642139128806,7.191467780526355
51,7.3888320167127475,0.35,0.4,0.6,0.25,0.23,18.23782591879947,0.8194881153932914,0.20783471867840694,7.18099729803434
52,7.405249150723822,0.5,0.45,0.6,0.25,0.21,18.310520677257667,0.8228696183357791,0.6072564684487247,6.797992682275098
